Technology,CO2,NOx,PM2.5_Exhaust,PM2.5_Tyre,PM2.5_Brake,PM2.5_Road,SO2,NH3,,,,,,,,,,,
Bus - Diesel - Euro 2,1,10.7,0.22,0.0188748,0.0199836,0.01701,0.000903,0.029,,,,,,,,,,,
Bus - Diesel - Euro 3,1,9.38,0.207,0.0188748,0.0199836,0.01701,0.000903,0.029,,,,,,,,,,,
Bus - Diesel - Euro 4,1,5.42,0.0462,0.0188748,0.0199836,0.01701,0.000903,0.029,,,,,,,,,,,
Bus - Diesel - Euro 5,1,3.09,0.0462,0.0188748,0.0199836,0.01701,0.000903,0.011,,,,,,,,,,,
Bus - Diesel - Euro 6,1,0.597,0.0023,0.0188748,0.0199836,0.01701,0.000903,0.009,,,,,,,,,,,
Bus - Diesel - Euro 7,1,0.597,0.0023,0.0188748,0.0199836,0.01701,0.000903,0.009,,,,,,,,,,,
Buses - PHEV (Diesel),1,0.597,0.0023,0.0188748,0.0199836,0.01701,0.000903,0.009,,,,,,,,,,,
Buses - Hydrogen Fuel Cell,0,0,0,0.0188748,0.0199836,0.01701,0,0,,,,,,,,,,,
Buses - BEV,0,0,0,0.0188748,0.0199836,0.01701,0,0,,,,,,,,,,,
Motorcycle - Petrol - Euro 1,1,0.477,0.014,0.001932,0.001443,0.00162,0.00018,0.0019,,,,,,,,,,,
Motorcycle - Petrol - Euro 2,1,0.317,0.0035,0.001932,0.001443,0.00162,0.00018,0.0019,,,,,,,,,,,
Motorcycle - Petrol - Euro 3,1,0.194,0.0035,0.001932,0.001443,0.00162,0.00018,0.0019,,,,,,,,,,,
Motorcycle - Petrol - Euro 4,1,0.194,0.0035,0.001932,0.001443,0.00162,0.00018,0.0019,,,,,,,,,,,
Motorcycle - Petrol - Euro 5,1,0.194,0.0035,0.001932,0.001443,0.00162,0.00018,0.0019,,,,,,,,,,,
Motorcycles - Hydrogen Fuel Cell,0,0,0,0.001932,0.001443,0.00162,0,0,,,,,,,,,,,
Motorcycles - Electric,0,0,0,0.001932,0.001443,0.00162,0,0,,,,,,,,,,,
