Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Mineral products - Hydrogen,0,0,0,0,0,0.077375658,0.177418624,0.405706282,0.758762933,1.224932882,1.863367739,2.628987029,3.585600828,4.603019578,5.636773433,6.67043398,7.644143451,8.558806401,9.382313563,10.11659866,10.78588097,11.37443316,11.90426024,12.3831642,12.84128252,13.21919221,13.47631387,13.71599395,13.82892147,13.88497235
Mineral products - Oil/Petroleum,1.297207776,1.269186352,1.241164928,1.213143505,1.185122081,1.157100657,1.129079233,1.101057809,1.073036385,1.045014961,1.016993538,0.988972114,0.96095069,0.932929266,0.904907842,0.844580653,0.784253463,0.723926274,0.663599084,0.603271895,0.542944705,0.482617516,0.422290326,0.361963137,0.301635947,0.241308758,0.180981568,0.120654379,0.060327189,0
Mineral products - Bioenergy/Other,10.95112221,10.60953457,10.26794693,9.926359286,9.584771644,9.243184002,8.901596361,8.560008719,8.218421078,7.876833436,7.535245795,7.193658153,6.852070512,6.51048287,6.168895228,5.850080096,5.531264964,5.212449832,4.8936347,4.574819568,4.256004436,3.937189304,3.618374172,3.299559039,2.980743907,2.661928775,2.343113643,2.024298511,1.705483379,1.386668247
Mineral products - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral products - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textiles and Leather - Electricity,2.442264648,2.389567698,2.371244738,2.377853986,2.366759891,2.359324487,2.350561333,2.345663408,2.344335657,2.348466437,2.362452078,2.382810922,2.40800868,2.431878687,2.460912169,2.485519816,2.515320443,2.548573221,2.582416112,2.612039705,2.648331558,2.694330743,2.734900904,2.779070744,2.824037235,2.846727019,2.866672785,2.885910417,2.900869742,2.911403231
Textiles and Leather - Natural Gas,3.680996872,3.632503512,3.548318386,3.554029545,3.52694184,3.4900617,3.452233751,3.389799179,3.303854992,3.186668098,3.02936779,2.849545859,2.639713925,2.421382257,2.181420882,1.942520592,1.719756359,1.508979371,1.318014196,1.135438533,0.967926988,0.818722569,0.683708365,0.566278467,0.456313423,0.361486089,0.292172937,0.225899993,0.181190382,0.152039422
Textiles and Leather - Hydrogen,0,0,0,0,0,0.013645881,0.031289343,0.071549891,0.133814553,0.216027746,0.328621379,0.463645112,0.632352415,0.811783209,0.994094843,1.176390022,1.348112298,1.509421198,1.654653968,1.78415164,1.902185493,2.005981876,2.099421568,2.183880516,2.264673733,2.33132145,2.376667128,2.41893683,2.438852595,2.448737665
Textiles and Leather - Oil/Petroleum,0.3042612,0.29768875,0.291116301,0.284543852,0.277971403,0.271398954,0.264826505,0.258254056,0.251681607,0.245109158,0.238536709,0.23196426,0.225391811,0.218819362,0.212246913,0.198097118,0.183947324,0.16979753,0.155647736,0.141497942,0.127348148,0.113198353,0.099048559,0.084898765,0.070748971,0.056599177,0.042449383,0.028299588,0.014149794,0
Textiles and Leather - Bioenergy/Other,0.649483653,0.629224945,0.608966236,0.588707528,0.56844882,0.548190112,0.527931404,0.507672695,0.487413987,0.467155279,0.446896571,0.426637863,0.406379154,0.386120446,0.365861738,0.34695361,0.328045483,0.309137355,0.290229228,0.2713211,0.252412972,0.233504845,0.214596717,0.195688589,0.176780462,0.157872334,0.138964206,0.120056079,0.101147951,0.082239824
Textiles and Leather - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textiles and Leather - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction - Electricity,1.253368589,1.226324549,1.216921218,1.22031308,1.214619598,1.210803754,1.206306508,1.203792897,1.203111496,1.205231409,1.212408831,1.222856976,1.235788449,1.24803852,1.262938484,1.275567112,1.290860774,1.307926078,1.325294226,1.340497035,1.359121989,1.382728741,1.40354932,1.426217252,1.449294025,1.460938408,1.471174561,1.481047302,1.488724417,1.494130196
Construction - Natural Gas,6.137580665,6.056724331,5.916356649,5.925879259,5.880714056,5.819221247,5.756148092,5.652046611,5.508745925,5.313352111,5.051074428,4.751244886,4.401377592,4.037338102,3.637233905,3.23889893,2.867468716,2.516025667,2.197616223,1.893195194,1.61389161,1.365112762,1.139994242,0.944195252,0.760842929,0.602730757,0.487160145,0.376658683,0.302111255,0.253505843
Construction - Hydrogen,0,0,0,0,0,0.022752722,0.052170886,0.119300081,0.223118259,0.360198002,0.547933153,0.773067561,1.054364915,1.353542288,1.657523084,1.961476443,2.24780087,2.516762356,2.758918998,2.974839421,3.171645429,3.344712317,3.500510777,3.641335023,3.77604714,3.887173488,3.962781474,4.033260672,4.066467604,4.082949665
Construction - Oil/Petroleum,1.669235617,1.633177894,1.597120171,1.561062448,1.525004725,1.488947002,1.452889279,1.416831555,1.380773832,1.344716109,1.308658386,1.272600663,1.23654294,1.200485217,1.164427494,1.086798995,1.009170495,0.931541995,0.853913496,0.776284996,0.698656496,0.621027997,0.543399497,0.465770998,0.388142498,0.310513998,0.232885499,0.155256999,0.0776285,0
Construction - Bioenergy/Other,0.089760658,0.086960841,0.084161025,0.081361208,0.078561392,0.075761576,0.072961759,0.070161943,0.067362127,0.06456231,0.061762494,0.058962677,0.056162861,0.053363045,0.050563228,0.047950066,0.045336904,0.042723742,0.04011058,0.037497418,0.034884257,0.032271095,0.029657933,0.027044771,0.024431609,0.021818447,0.019205285,0.016592123,0.013978961,0.011365799
Construction - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanical Engineering - Electricity,5.450869566,5.333255694,5.292360837,5.30711196,5.282351145,5.265756131,5.246197721,5.235266084,5.232302689,5.241522141,5.272736573,5.318175303,5.374413963,5.427689228,5.492488808,5.547410404,5.613922168,5.68813876,5.763672417,5.829789062,5.910788537,6.013453726,6.10400192,6.202584208,6.302944534,6.353585669,6.398102454,6.441038761,6.474426349,6.497935953
Mechanical Engineering - Natural Gas,14.65560539,14.46253281,14.12735622,14.15009476,14.04224715,13.89541172,13.74480265,13.49622421,13.15404406,12.68747347,12.06119441,11.34524725,10.50981758,9.640546867,8.685159142,7.733996049,6.847077418,6.007885083,5.247571954,4.520661024,3.853726715,3.259680817,2.722132168,2.254594078,1.816776731,1.439229007,1.163264036,0.899403416,0.721395543,0.605333243
Mechanical Engineering - Hydrogen,0,0,0,0,0,0.054330026,0.124576109,0.284870376,0.532772332,0.860097825,1.308380698,1.845967284,2.517662411,3.23205229,3.957912014,4.683706219,5.367405229,6.009644184,6.587877268,7.103462267,7.573404959,7.986662261,8.358685191,8.694951986,9.016623952,9.281976701,9.462517025,9.630810586,9.710103671,9.749460314
Mechanical Engineering - Oil/Petroleum,0.002892479,0.002829997,0.002767516,0.002705034,0.002642553,0.002580072,0.00251759,0.002455109,0.002392627,0.002330146,0.002267665,0.002205183,0.002142702,0.00208022,0.002017739,0.001883223,0.001748707,0.001614191,0.001479675,0.001345159,0.001210643,0.001076127,0.000941611,0.000807096,0.00067258,0.000538064,0.000403548,0.000269032,0.000134516,0
Mechanical Engineering - Bioenergy/Other,0.138690961,0.134364909,0.130038858,0.125712806,0.121386755,0.117060703,0.112734652,0.108408601,0.104082549,0.099756498,0.095430446,0.091104395,0.086778343,0.082452292,0.07812624,0.074088592,0.070050944,0.066013296,0.061975648,0.057938,0.053900352,0.049862704,0.045825056,0.041787408,0.03774976,0.033712112,0.029674464,0.025636816,0.021599168,0.01756152
Electrical Engineering - Electricity,5.647341115,5.52548796,5.483119085,5.4984019,5.472748604,5.455555438,5.435292063,5.423966406,5.420896198,5.430447957,5.462787484,5.509864011,5.568129741,5.623325264,5.690460485,5.747361678,5.816270798,5.893162458,5.971418656,6.039918414,6.123837441,6.230203101,6.324015021,6.426150616,6.530128337,6.582594785,6.628716136,6.673200043,6.707791056,6.732148042
Electrical Engineering - Natural Gas,4.478309156,4.419312023,4.316892208,4.323840417,4.290885454,4.246016992,4.199995423,4.12403738,4.019477488,3.876907646,3.685535734,3.466763964,3.211481957,2.945859154,2.6539216,2.363274965,2.092259492,1.83582773,1.603499064,1.381377099,1.177582172,0.996059737,0.83180115,0.688935669,0.555151947,0.439784797,0.355458259,0.274830445,0.22043663,0.184971506
Electrical Engineering - Hydrogen,0,0,0,0,0,0.01660161,0.038066686,0.087047759,0.162799089,0.262819847,0.399801516,0.564071696,0.769321384,0.987617296,1.209418044,1.431198772,1.640116484,1.836365258,2.013055776,2.170602937,2.314203191,2.440482107,2.554161048,2.656913997,2.755207207,2.836290971,2.891458626,2.942884042,2.967113607,2.979139805
Electrical Engineering - Oil/Petroleum,0.005991563,0.005862137,0.005732711,0.005603285,0.00547386,0.005344434,0.005215008,0.005085582,0.004956157,0.004826731,0.004697305,0.004567879,0.004438453,0.004309028,0.004179602,0.003900962,0.003622322,0.003343682,0.003065041,0.002786401,0.002507761,0.002229121,0.001950481,0.001671841,0.001393201,0.001114561,0.00083592,0.00055728,0.00027864,0
Electrical Engineering - Bioenergy/Other,0.057856777,0.056052108,0.054247438,0.052442768,0.050638098,0.048833428,0.047028758,0.045224088,0.043419419,0.041614749,0.039810079,0.038005409,0.036200739,0.034396069,0.032591399,0.030907041,0.029222682,0.027538324,0.025853965,0.024169607,0.022485248,0.02080089,0.019116531,0.017432173,0.015747814,0.014063456,0.012379097,0.010694739,0.00901038,0.007326021
Vehicles - Electricity,3.420889775,3.347076948,3.321411906,3.330669505,3.315129963,3.304715163,3.292440578,3.285580035,3.283720249,3.289506249,3.309095991,3.337612705,3.372907305,3.406342118,3.447009432,3.48147746,3.523219316,3.569796615,3.617200485,3.65869437,3.709528512,3.773959754,3.830786538,3.892655408,3.95564015,3.987421821,4.015359935,4.042306163,4.063259748,4.078014048
Vehicles - Natural Gas,6.221909009,6.139941736,5.997645448,6.007298895,5.961513137,5.899175437,5.835235678,5.729703876,5.584434286,5.386355825,5.120474533,4.816525432,4.461851075,4.092809802,3.687208305,3.283400338,2.906866795,2.550595034,2.227810749,1.919207075,1.636065951,1.383868964,1.155657389,0.957168185,0.771296662,0.611012079,0.493853566,0.381833849,0.306262165,0.256988931
Vehicles - Hydrogen,0,0,0,0,0,0.023065337,0.052887697,0.120939225,0.226183831,0.365147004,0.555461575,0.783689255,1.068851543,1.372139514,1.680296907,1.988426486,2.278684917,2.551341844,2.79682564,3.015712739,3.215222796,3.390667567,3.548606646,3.691365771,3.827928789,3.940581976,4.017228791,4.08867635,4.122339535,4.139048053
Vehicles - Oil/Petroleum,1.061952851,1.039013249,1.016073646,0.993134043,0.970194441,0.947254838,0.924315235,0.901375633,0.87843603,0.855496427,0.832556825,0.809617222,0.786677619,0.763738017,0.740798414,0.691411853,0.642025292,0.592638731,0.54325217,0.493865609,0.444479048,0.395092487,0.345705927,0.296319366,0.246932805,0.197546244,0.148159683,0.098773122,0.049386561,0
Vehicles - Bioenergy/Other,0.698878169,0.677078746,0.655279323,0.6334799,0.611680477,0.589881054,0.568081631,0.546282208,0.524482785,0.502683362,0.480883939,0.459084516,0.437285093,0.41548567,0.393686247,0.373340119,0.352993991,0.332647862,0.312301734,0.291955606,0.271609478,0.25126335,0.230917222,0.210571094,0.190224965,0.169878837,0.149532709,0.129186581,0.108840453,0.088494325
Other industries - Electricity,19.01306196,18.60281552,18.46017104,18.51162412,18.42525645,18.36737173,18.29915046,18.26102005,18.25068349,18.28284167,18.39172006,18.55021393,18.7463788,18.93220712,19.15823315,19.349804,19.58180226,19.84067558,20.10414292,20.33476298,20.61729552,20.97539978,21.291239,21.63510178,21.98516649,22.16180676,22.31708481,22.46685002,22.58330856,22.66531191
Other industries - Natural Gas,10.34954442,10.21319978,9.976503656,9.992561233,9.916401048,9.812708309,9.706350697,9.530808743,9.289166817,8.959682437,8.5174146,8.01182464,7.42185812,6.807993622,6.133314724,5.461619191,4.835292026,4.242668377,3.705747909,3.192415518,2.721437618,2.301932299,1.922324397,1.592156785,1.282977467,1.016359553,0.821477686,0.635143712,0.509437517,0.427476253
Other industries - Hydrogen,0,0,0,0,0,0.038366959,0.087973573,0.201170715,0.376234947,0.607386758,0.923956656,1.303591349,1.77793126,2.282421494,2.79501154,3.307555319,3.790372172,4.243910625,4.652249198,5.016346736,5.348212438,5.640047861,5.902764258,6.140230268,6.367389652,6.554777344,6.682271913,6.801118023,6.857113479,6.884906485
Other industries - Oil/Petroleum,0.283876112,0.277744008,0.271611905,0.265479801,0.259347697,0.253215593,0.247083489,0.240951385,0.234819281,0.228687177,0.222555073,0.216422969,0.210290866,0.204158762,0.198026658,0.184824881,0.171623103,0.158421326,0.145219549,0.132017772,0.118815995,0.105614217,0.09241244,0.079210663,0.066008886,0.052807109,0.039605332,0.026403554,0.013201777,0
Other industries - Bioenergy/Other,7.78281372,7.540052026,7.297290331,7.054528637,6.811766943,6.569005248,6.326243554,6.083481859,5.840720165,5.597958471,5.355196776,5.112435082,4.869673387,4.626911693,4.384149999,4.157572417,3.930994836,3.704417254,3.477839673,3.251262091,3.02468451,2.798106929,2.571529347,2.344951766,2.118374184,1.891796603,1.665219021,1.43864144,1.212063858,0.985486277
